Node_ID,X,Y,Z,Temperature
0,-0.169271,-0.169271,0.820312,62.152669
1,-0.479818,-0.157118,0.706380,65.565491
2,-0.434172,-0.434172,0.617766,67.965414
3,-0.157118,-0.479818,0.706380,64.159563
4,0.169271,-0.169271,0.820312,58.388027
5,0.157118,-0.479818,0.706380,60.071197
6,0.434172,-0.434172,0.617766,55.997889
7,0.479818,-0.157118,0.706380,54.177326
8,0.169271,0.169271,0.820312,57.118581
9,0.479818,0.157118,0.706380,53.227994
10,0.434172,0.434172,0.617766,53.254621
11,0.157118,0.479818,0.706380,56.354808
12,-0.169271,0.169271,0.820312,60.453466
13,-0.157118,0.479818,0.706380,59.182367
14,-0.434172,0.434172,0.617766,61.605515
15,-0.479818,0.157118,0.706380,63.355352
16,0.169271,-0.169271,-0.820312,58.388027
17,0.479818,-0.157118,-0.706380,54.177326
18,0.434172,-0.434172,-0.617766,55.997889
19,0.157118,-0.479818,-0.706380,60.071197
20,-0.169271,-0.169271,-0.820312,62.152669
21,-0.157118,-0.479818,-0.706380,64.159563
22,-0.434172,-0.434172,-0.617766,67.965414
23,-0.479818,-0.157118,-0.706380,65.565491
24,-0.169271,0.169271,-0.820312,60.453466
25,-0.479818,0.157118,-0.706380,63.355352
26,-0.434172,0.434172,-0.617766,61.605515
27,-0.157118,0.479818,-0.706380,59.182367
28,0.169271,0.169271,-0.820312,57.118581
29,0.157118,0.479818,-0.706380,56.354808
30,0.434172,0.434172,-0.617766,53.254621
31,0.479818,0.157118,-0.706380,53.227994
32,-0.169271,0.820312,0.169271,58.242298
33,-0.479818,0.706380,0.157118,60.928516
34,-0.434172,0.617766,0.434172,60.900992
35,-0.157118,0.706380,0.479818,58.485157
36,0.169271,0.820312,0.169271,55.313554
37,0.157118,0.706380,0.479818,55.766147
38,0.434172,0.617766,0.434172,52.823672
39,0.479818,0.706380,0.157118,51.900914
40,0.169271,0.820312,-0.169271,55.313554
41,0.479818,0.706380,-0.157118,51.900914
42,0.434172,0.617766,-0.434172,52.823672
43,0.157118,0.706380,-0.479818,55.766147
44,-0.169271,0.820312,-0.169271,58.242298
45,-0.157118,0.706380,-0.479818,58.485157
46,-0.434172,0.617766,-0.434172,60.900992
47,-0.479818,0.706380,-0.157118,60.928516
48,-0.169271,-0.820312,-0.169271,69.250548
49,-0.479818,-0.706380,-0.157118,78.820938
50,-0.434172,-0.617766,-0.434172,71.524407
51,-0.157118,-0.706380,-0.479818,66.603718
52,0.169271,-0.820312,-0.169271,62.400056
53,0.157118,-0.706380,-0.479818,61.556851
54,0.434172,-0.617766,-0.434172,56.839549
55,0.479818,-0.706380,-0.157118,56.445836
56,0.169271,-0.820312,0.169271,62.400056
57,0.479818,-0.706380,0.157118,56.445836
58,0.434172,-0.617766,0.434172,56.839549
59,0.157118,-0.706380,0.479818,61.556851
60,-0.169271,-0.820312,0.169271,69.250548
61,-0.157118,-0.706380,0.479818,66.603718
62,-0.434172,-0.617766,0.434172,71.524407
63,-0.479818,-0.706380,0.157118,78.820938
64,0.820312,-0.169271,0.169271,41.057643
65,0.706380,-0.157118,0.479818,48.957846
66,0.617766,-0.434172,0.434172,52.493494
67,0.706380,-0.479818,0.157118,49.995276
68,0.820312,-0.169271,-0.169271,41.057643
69,0.706380,-0.479818,-0.157118,49.995276
70,0.617766,-0.434172,-0.434172,52.493494
71,0.706380,-0.157118,-0.479818,48.957846
72,0.820312,0.169271,-0.169271,40.194338
73,0.706380,0.157118,-0.479818,48.117062
74,0.617766,0.434172,-0.434172,50.023800
75,0.706380,0.479818,-0.157118,47.378643
76,0.820312,0.169271,0.169271,40.194338
77,0.706380,0.479818,0.157118,47.378643
78,0.617766,0.434172,0.434172,50.023800
79,0.706380,0.157118,0.479818,48.117062
80,-0.820312,-0.169271,-0.169271,71.783693
81,-0.706380,-0.157118,-0.479818,68.808387
82,-0.617766,-0.434172,-0.434172,72.199368
83,-0.706380,-0.479818,-0.157118,79.619679
84,-0.820312,-0.169271,0.169271,71.783693
85,-0.706380,-0.479818,0.157118,79.619679
86,-0.617766,-0.434172,0.434172,72.199368
87,-0.706380,-0.157118,0.479818,68.808387
88,-0.820312,0.169271,0.169271,66.998640
89,-0.706380,0.157118,0.479818,65.639747
90,-0.617766,0.434172,0.434172,63.122136
91,-0.706380,0.479818,0.157118,63.655546
92,-0.820312,0.169271,-0.169271,66.998640
93,-0.706380,0.479818,-0.157118,63.655546
94,-0.617766,0.434172,-0.434172,63.122136
95,-0.706380,0.157118,-0.479818,65.639747
96,-0.163194,-0.331543,0.777507,63.111498
97,0.000000,-0.172309,0.834635,60.320156
98,-0.172309,0.000000,0.834635,61.266815
99,-0.331543,-0.163194,0.777507,63.893485
100,-0.488390,0.000000,0.718859,64.427682
101,-0.607096,-0.154080,0.607096,67.179684
102,-0.459834,-0.304941,0.671748,66.745267
103,-0.540039,-0.419922,0.540039,69.833705
104,-0.419922,-0.540039,0.540039,69.376827
105,-0.304941,-0.459834,0.671748,66.108751
106,-0.154080,-0.607096,0.607096,65.301255
107,0.000000,-0.488390,0.718859,62.136546
108,0.331543,-0.163194,0.777507,56.353471
109,0.172309,0.000000,0.834635,57.673025
110,0.163194,-0.331543,0.777507,59.213502
111,0.154080,-0.607096,0.607096,60.884898
112,0.304941,-0.459834,0.671748,58.007600
